ID,Ch_name,En_name
672,富有柿,Fuyu Persimmon
673,心柿,Hachiya Persimmon
674,柿饼,Dried Persimmon
681,西梅,Prune Plum
684,绿布冧,Green Plum
685,红布冧,Red Plum
686,黑布冧,Black Plum
687,恐龙蛋,Dinosaur Plum
690,手榴弹,Grenade Plum
702,大西瓜,Watermelon
704,西瓜仔,Baby Watermelon
901,杏子,Apricot
902,牛油果,Avocado
903,香瓜,Cantaloupe
904,椰青,Young COCOnut
905,青枣-台湾,Green Date
906,鸡心枣,Fresh Date
907,特级骏枣,Premium Jujube
908,甜枣,Fresh Yellow Date
910,西柚,Grapefruit
911,大芭乐,Guava-Large
912,奇异果,Kiwi Fruit
913,黄金奇异果,Golden Kiwi Fruit
914,柠檬,Lemon
915,青柠,Lime
916,龙眼,Longan
917,有机红肉蜜柚,Organic Pink Pomelo
918,台湾文旦,Taiwan Pomelo
919,蜜柚,Honey Pomelo
920,越南蜜柚,Vietnam Pomelo
922,泰国西施柚,Thai Pomelo
925,杨桃,Star Fruit
927,士多啤梨,Strawberry
929,火龙果,Dragon Fruit
930,新鲜无花果,Figs
931,热情果,Passion Fruit
933,山竹,Mangoteen
934,菠萝,Pineapple
935,石榴,Pomegranate
938,青皮甘蔗,Sugar Cane-Green
944,树上熟菠萝,Tree Ripened Pineapple
947,美国砂糖桔,Us Sugar Mandarin
949,砂糖桔,Sugar Mandarin
950,蓝莓,Blueberry
966,释迦（番荔枝）,Custard Apple
982,新疆青提子干,Dried Raisin
983,一级宁夏大杞子,Premium Dried Goji Berry 
